id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,epoch,roof_shape,roof_material,Image Quality,taxonomy,Image_filename
24_1,19.42250278,-99.16334444,Mexico,Mexico City,MUR,LWAL,CDN,3,MIX,BP2,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:3/MIX/BP2,IMG_2820.jpg
17_1,19.421525,-99.16017778,Mexico,Mexico City,MUR,LWAL,CDN,2,RES,BP2,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:2/RES/BP2,IMG_2821.jpg
12_1,19.42161389,-99.16013333,Mexico,Mexico City,MCF,LWAL,CDM,4,MIX,BP2,1993-2004,RSH1,RMN,Good,MCF/LWAL+CDM/H:4/MIX/BP2,IMG_2822.jpg
9_1,19.42135556,-99.16007222,Mexico,Mexico City,MUR,LWAL,CDN,2,COM,BP2,,RSH1,RMT1,Good,MUR/LWAL+CDN/H:2/COM/BP2,IMG_2823.jpg
16_1,19.42109167,-99.15998889,Mexico,Mexico City,MUR,LWAL,CDN,5,MIX,BP2,<1985,RSH4,RMT7,Good,MUR/LWAL+CDN/H:5/MIX/BP2,IMG_2824.jpg
13_1,19.42107778,-99.15918611,Mexico,Mexico City,MCF,LWAL,CDM,3,RES,BP3,1993-2004,RSH1,RMN,Good,MCF/LWAL+CDM/H:3/RES/BP3,IMG_2825.jpg
14_1,19.41936111,-99.15891944,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,5,MIX,BP2,<1985,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:5/MIX/BP2,IMG_2826.jpg
22_1,19.41930833,-99.15906389,Mexico,Mexico City,MUR,LWAL,CDN,2,RES,BP3,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:2/RES/BP3,IMG_2827.jpg
15_1,19.41935833,-99.15909444,Mexico,Mexico City,MCF,LWAL,CDL,4,RES,BP3,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:4/RES/BP3,IMG_2828.jpg
18_1,19.41833333,-99.15720278,Mexico,Mexico City,MCF,LWAL,CDM,2,RES,BP3,,RSH1,RMN,Good,MCF/LWAL+CDM/H:2/RES/BP3,IMG_2829.jpg
5_1,19.41809722,-99.15684444,Mexico,Mexico City,MCF,LWAL,CDM,6.0-7.0,RES,BP3,,RSH1,RMN,Good,MCF/LWAL+CDM/H:Select Number of Stories/RES/BP3,IMG_2831.jpg
2_1,19.41812778,-99.15667778,Mexico,Mexico City,CR,LFINF,CDL,4,RES,BP3,<1985,RSH1,RMN,Good,CR/LFINF+CDL/H:4/RES/BP3,IMG_2834.jpg
4_1,19.41814722,-99.15639444,Mexico,Mexico City,MCF,LWAL,CDM,4,RES,BP3,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDM/H:4/RES/BP3,IMG_2836.jpg
97_1,19.41795556,-99.15735,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,5,MIX,BP2,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:5/MIX/BP2,IMG_2837.jpg
10_1,19.41794444,-99.15746944,Mexico,Mexico City,CR,LFM,CDL,2,MIX,BP3,,RSH1,RMN,Good,CR/LFM+CDL/H:2/MIX/BP3,IMG_2838.jpg
11_1,19.41772778,-99.15837222,Mexico,Mexico City,HYB(MCF;MUR),LO,CDM,5,RES,BP1,2004-2017,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDM/H:5/RES/BP1,IMG_2839.jpg
96_1,19.41765278,-99.15710556,Mexico,Mexico City,CR,LFM,CDL,5,MIX,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:5/MIX/BP3,IMG_2840.jpg
8_1,19.41741111,-99.15714167,Mexico,Mexico City,MCF,LWAL,CDL,4,MIX,BP3,<1985,RSH1,RMN,Good,MCF/LWAL+CDL/H:4/MIX/BP3,IMG_2841.jpg
3_1,19.41748333,-99.15643333,Mexico,Mexico City,CR,LFINF,CDM,4,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LFINF+CDM/H:4/RES/BP3,IMG_2842.jpg
6_1,19.41680833,-99.15682222,Mexico,Mexico City,MCF,LWAL,CDM,4,RES,BP3,2004-2017,RSH1,RMN,Good,MCF/LWAL+CDM/H:4/RES/BP3,IMG_2843.jpg
95_1,19.41635,-99.15711944,Mexico,Mexico City,MUR,LWAL,CDL,3,RES,BP3,<1985,RSH1,RMT1,Good,MUR/LWAL+CDL/H:3/RES/BP3,IMG_2844.jpg
100_1,19.41617222,-99.1576,Mexico,Mexico City,CR,LFM,CDM,4,RES,BP1,2004-2017,RSH1,RMN,Good,CR/LFM+CDM/H:4/RES/BP1,IMG_2845.jpg
92_1,19.41624167,-99.15670833,Mexico,Mexico City,CR,LWAL,CDM,5,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LWAL+CDM/H:5/RES/BP3,IMG_2846.jpg
7_1,19.41600556,-99.15661667,Mexico,Mexico City,CR,LFM,CDL,8.0-9.0,MIX,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:8-9/MIX/BP3,IMG_2847.jpg
93_1,19.41584722,-99.15658611,Mexico,Mexico City,S,LFM,CDH,6.0-7.0,RES,BP3,2017-2023,RSH1,RMN,Good,S/LFM+CDH/H:6-7/RES/BP3,IMG_2848.jpg
91_1,19.41534722,-99.15651667,Mexico,Mexico City,MUR,LWAL,CDN,2,OCO,BP3,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:2/OCO/BP3,IMG_2850.jpg
94_1,19.41519722,-99.15646389,Mexico,Mexico City,CR,LFM,CDM,6.0-7.0,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LFM+CDM/H:6-7/RES/BP3,IMG_2851.jpg
78_1,19.41464444,-99.15693611,Mexico,Mexico City,MCF,LWAL,CDL,2,COM,BP2,Select Epoch of Construction,RSH1,RMN,Good,MCF/LWAL+CDL/H:2/COM/BP2,IMG_2853.jpg
84_1,19.41476944,-99.15615833,Mexico,Mexico City,MUR,LWAL,CDN,2,MIX,BP3,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:2/MIX/BP3,IMG_2855.jpg
89_1,19.41485556,-99.15590556,Mexico,Mexico City,MCF,LWAL,CDL,2,COM,BP3,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:2/COM/BP3,IMG_2856.jpg
90_1,19.41488611,-99.15586944,Mexico,Mexico City,MCF,LWAL,CDL,3,RES,BP3,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:3/RES/BP3,IMG_2857.jpg
102_1,19.41406389,-99.15615,Mexico,Mexico City,MCF,LWAL,CDL,5,MIX,BP3,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:5/MIX/BP3,IMG_2860.jpg
76_1,19.41361111,-99.15647778,Mexico,Mexico City,MCF,LWAL,CDL,4,RES,BP3,,RSH8,RMN,Good,MCF/LWAL+CDL/H:4/RES/BP3,IMG_2861.jpg
79_1,19.41359167,-99.15654722,Mexico,Mexico City,HYB(MCF;MUR),LO,CDM,4,RES,BP3,2004-2017,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDM/H:4/RES/BP3,IMG_2862.jpg
87_1,19.41359444,-99.1566,Mexico,Mexico City,CR,LFM,CDL,4,OCO,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:4/OCO/BP3,IMG_2863.jpg
80_1,19.41369722,-99.15647778,Mexico,Mexico City,CR,LFM,CDM,4,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LFM+CDM/H:4/RES/BP3,IMG_2864.jpg
81_1,19.41372778,-99.15571667,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,4,RES,BP3,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:4/RES/BP3,IMG_2865.jpg
77_1,19.41370278,-99.156075,Mexico,Mexico City,MCF,LWAL,CDL,3,RES,BP2,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:3/RES/BP2,IMG_2866.jpg
82_1,19.41311111,-99.155975,Mexico,Mexico City,MCF,LWAL,CDL,3,RES,BP3,,RSH1,RMN,Good,MCF/LWAL+CDL/H:3/RES/BP3,IMG_2867.jpg
75_1,19.41320278,-99.15598333,Mexico,Mexico City,HYB(MCF;MUR),LO,CDM,2,RES,BP3,,RSH8,RMN,Good,HYB(MCF;MUR)/LO+CDM/H:2/RES/BP3,IMG_2868.jpg
83_1,19.41238611,-99.15577778,Mexico,Mexico City,CR,LWAL,CDM,4,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LWAL+CDM/H:4/RES/BP3,IMG_2869.jpg
73_1,19.41229444,-99.15575278,Mexico,Mexico City,CR,LFM,CDL,4,RES,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:4/RES/BP3,IMG_2871.jpg
71_1,19.41224167,-99.15573889,Mexico,Mexico City,MCF,LWAL,CDL,3,RES,BP3,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:3/RES/BP3,IMG_2872.jpg
64_1,19.41202222,-99.15557778,Mexico,Mexico City,MUR,LWAL,CDL,3,RES,BP2,<1985,RSH1,RMT6,Good,MUR/LWAL+CDL/H:3/RES/BP2,IMG_2873.jpg
69_1,19.41211667,-99.15860833,Mexico,Mexico City,MR,LWAL,CDL,3,MIX,BP3,1985-1993,RSH1,RMN,Good,MR/LWAL+CDL/H:3/MIX/BP3,IMG_2874.jpg
65_1,19.41189167,-99.15992778,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,3,MIX,BP2,<1985,RSH1,RMT1,Good,HYB(MCF;MUR)/LO+CDL/H:3/MIX/BP2,IMG_2875.jpg
67_1,19.41122222,-99.16093333,Mexico,Mexico City,CR,LFINF,CDL,5,RES,BP2,1985-1993,RSH1,RMN,Good,CR/LFINF+CDL/H:5/RES/BP2,IMG_2880.jpg
63_1,19.411475,-99.16204722,Mexico,Mexico City,MUR,LWAL,CDL,2,RES,BP3,<1985,RSH1,RMT1,Good,MUR/LWAL+CDL/H:2/RES/BP3,IMG_2883.jpg
61_1,19.41118889,-99.16249167,Mexico,Mexico City,MUR,LWAL,CDN,2,MIX,BP2,<1985,RSH1,RMT1,Good,MUR/LWAL+CDN/H:2/MIX/BP2,IMG_2885.jpg
51_1,19.41112222,-99.16358889,Mexico,Mexico City,CR,LFM,CDL,6.0-7.0,MIX,BP3,<1985,RSH1,RMN,Good,CR/LFM+CDL/H:6-7/MIX/BP3,IMG_2888.jpg
55_1,19.41084722,-99.16514722,Mexico,Mexico City,MCF,LWAL,CDL,2,MIX,BP3,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:2/MIX/BP3,IMG_2889.jpg
98_1,19.41066667,-99.16584722,Mexico,Mexico City,CR,LWAL,CDH,6.0-7.0,RES,BP2,2017-2023,RSH1,RMN,Good,CR/LWAL+CDH/H:6-7/RES/BP2,IMG_2890.jpg
152_1,19.42071667,-99.16674722,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,3,COM,BP3,1993-2004,RSH1,RMTO,Good,HYB(MCF;MUR)/LO+CDL/H:3/COM/BP3,IMG_2892.jpg
58_1,19.42105278,-99.16693056,Mexico,Mexico City,MCF,LWAL,CDM,5,MIX,BP2,1985-1993,RSH1,RMN,Intermediate,MCF/LWAL+CDM/H:5/MIX/BP2,IMG_2893.jpg
57_1,19.42223056,-99.16720556,Mexico,Mexico City,HYB(MCF;MUR),LO,CDL,6.0-7.0,RES,BP3,1985-1993,RSH1,RMN,Good,HYB(MCF;MUR)/LO+CDL/H:6-7/RES/BP3,IMG_2895.jpg
56_1,19.42269722,-99.16711389,Mexico,Mexico City,CR,LFM,CDL,6.0-7.0,MIX,BP2,1993-2004,RSH1,RMN,Good,CR/LFM+CDL/H:6-7/MIX/BP2,IMG_2897.jpg
88_1,19.43777778,-99.20864167,Mexico,Mexico City,CR,LFM,CDL,4,RES,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:4/RES/BP3,IMG_2955.jpg
86_1,19.43746111,-99.20863333,Mexico,Mexico City,CR,LFM,CDM,8.0-9.0,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LFM+CDM/H:8-9/RES/BP3,IMG_2957.jpg
52_1,19.436875,-99.208725,Mexico,Mexico City,CR,LFM,CDL,10.0-12.0,RES,BP2,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:10-12/RES/BP2,IMG_2959.jpg
85_1,19.43648333,-99.20833611,Mexico,Mexico City,CR,LFM,CDL,10.0-12.0,MIX,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:10-12/MIX/BP3,IMG_2962.jpg
78_1,19.436775,-99.20790833,Mexico,Mexico City,CR,LFM,CDL,10.0-12.0,MIX,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:10-12/MIX/BP3,IMG_2963.jpg
72_1,19.43715,-99.20803056,Mexico,Mexico City,CR,LFINF,CDM,6.0-7.0,RES,BP3,1993-2004,RSH1,RMN,Good,CR/LFINF+CDM/H:6-7/RES/BP3,IMG_2967.jpg
74_1,19.43728889,-99.20786944,Mexico,Mexico City,CR,LFM,CDM,10.0-12.0,RES,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDM/H:10-12/RES/BP3,IMG_2968.jpg
70_1,19.4365,-99.20555833,Mexico,Mexico City,CR,LFM,CDL,8.0-9.0,MIX,BP2,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:8-9/MIX/BP2,IMG_2972.jpg
62_1,19.43671944,-99.20404167,Mexico,Mexico City,CR,LFM,CDM,10.0-12.0,RES,BP3,1993-2004,RSH1,RMN,Good,CR/LFM+CDM/H:10-12/RES/BP3,IMG_2973.jpg
59_1,19.43735833,-99.20391944,Mexico,Mexico City,CR,LFM,CDM,4,OCO,BP3,2004-2017,RSH1,RMN,Intermediate,CR/LFM+CDM/H:4/OCO/BP3,IMG_2975.jpg
54_1,19.43759444,-99.20394167,Mexico,Mexico City,CR,LDUAL,CDM,5,RES,BP3,2004-2017,RSH1,RMN,Intermediate,CR/LDUAL+CDM/H:5/RES/BP3,IMG_2977.jpg
53_1,19.437075,-99.20397222,Mexico,Mexico City,CR,LFM,CDL,8.0-9.0,OCO,BP3,1985-1993,RSH1,RMN,Good,CR/LFM+CDL/H:8-9/OCO/BP3,IMG_2979.jpg
151_1,19.43696667,-99.20407778,Mexico,Mexico City,CR,LFM,CDM,6.0-7.0,RES,BP3,2004-2017,,RMN,Good,CR/LFM+CDM/H:6-7/RES/BP3,IMG_2980.jpg
144_1,19.43675833,-99.204025,Mexico,Mexico City,CR,LFM,CDM,8.0-9.0,RES,BP3,2004-2017,RSH1,RMN,Good,CR/LFM+CDM/H:8-9/RES/BP3,IMG_2981.jpg
142_1,19.43620278,-99.20339167,Mexico,Mexico City,MCF,LWAL,CDL,3,MIX,BP2,1985-1993,RSH1,RMN,Good,MCF/LWAL+CDL/H:Select Number of Stories/MIX/BP2,IMG_2982.jpg
