id,sec,latitude,zone,longitude
1,1,10.91730211,1,-74.78983503
2,2,10.91652741,2,-74.80090658
3,3,10.91356325,3,-74.76865901
4,4,10.90531506,4,-74.78444731
5,5,10.93200669,5,-74.79029702
