id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,taxonomy,probability
1.0,10.91730211,-74.78983503,Colombia,Soledad,MUR,LWAL,LC,1,RES,BP1,MUR/LWAL/HEX:1/CODE:LC/RES/BP1,1.0
2.0,10.91652741,-74.80090658,Colombia,Soledad,CR,LFM,IC,3,RES,BP2,CR/LFM/HEX:3/CODE:IC/RES/BP2,0.6521913563975529
2.0,10.91652741,-74.80090658,Colombia,Soledad,MUR,LWAL,NC,1,RES,BP2,MUR/LWAL/HEX:1/CODE:NC/RES/BP2,0.3478086436024471
3.0,10.91356325,-74.76865901,Colombia,Soledad,CR,LFINF,IC,2,COM,BP1,CR/LFINF/HEX:2/CODE:IC/COM/BP1,0.7671570313844961
3.0,10.91356325,-74.76865901,Colombia,Soledad,MCF,LWAL,LC,2,RES,BP1,MCF/LWAL/HEX:2/CODE:LC/RES/BP1,0.23284296861550394
4.0,10.90531506,-74.78444731,Colombia,Soledad,MUR,LWAL,NC,1,COM,BP2,MUR/LWAL/HEX:1/CODE:NC/COM/BP2,1.0
5.0,10.93200669,-74.79029702,Colombia,Soledad,MUR,LWAL,NC,1,RES,BP2,MUR/LWAL/HEX:1/CODE:NC/RES/BP2,0.8339249207332242
5.0,10.93200669,-74.79029702,Colombia,Barranquilla,MCF,LWAL,LC,1,RES,BP1,MCF/LWAL/HEX:1/CODE:LC/RES/BP1,0.16607507926677587
