id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,roof_shape,roof_material,taxonomy,Image filename or link
1,10.99801513,-74.8074948,Perímetro Urbano Barranquilla,Colombia,CR,LFM,CDN,1,RES,BP2,RSH1,RMN,CR/LFM+CDN/H:1/RES/BP2/RSH1+RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.99801513,-74.8074948&heading=204.11970249991577&pitch=5&fov=120"
2,10.91720225,-74.79548172,Soledad,Colombia,MCF,LFM,CDN,2,RES,BP2,RSH1,RMN,MCF/LFM+CDN/H:2/RES/BP2/RSH1+RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91720225,-74.79548172&heading=359.550339049969&pitch=5&fov=120"
3,10.91700694,-74.79665105,Soledad,Colombia,MUR,LWAL,CDM,3,COM,BP2,RSH2,RMT6,MUR/LWAL+CDM/H:3/COM/BP2/RSH2+RMT6,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.91700694,-74.79665105&heading=180.47719205797654&pitch=5&fov=120"
4,10.9152632,-74.79735234,Soledad,Colombia,CR,LFM,CDH,2,RES,BP2,RSH1,RMN,CR/LFM+CDH/H:2/RES/BP2/RSH1+RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.9152632,-74.79735234&heading=269.39197482196005&pitch=5&fov=120"
5,10.41429423,-75.51623455,Cartagena,Colombia,CR,LFM,CDM,1,RES,BP2,RSH1,RMN,CR/LFM+CDM/H:1/RES/BP2/RSH1+RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=10.41429423,-75.51623455&heading=356.1062867533767&pitch=5&fov=120"
6,11.24332687,-74.2078904,Santa Marta,Colombia,MUR,LFM,CDM,1,OCO,BP2,RSH1,RMN,MUR/LFM+CDM/H:1/OCO/BP2/RSH1+RMN,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=11.24332687,-74.2078904&heading=9.487725964710421&pitch=5&fov=120"
