id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,epoch_construction,roof_shape,roof_material,image_quality,taxonomy,image filename or link
1092.0,38.69734371064999,-9.193727810222098,Portugal,Lisbon,MCF,LWAL,CDN,4,RES,BP2,Select Epoch of Construction,RSH3,RMT1,,MCF/LWAL/CDN/H:4/BP2/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69734371,-9.19372781&heading=136.55786342335153&pitch=5&fov=120"
1094.0,38.69566080193116,-9.219435652688988,Portugal,Lisbon,CR,LFINF,CDL,4,MIX(RES;COM),BP2,Select Epoch of Construction,RSH2,RMT1,,CR/LFINF/CDL/H:4/BP2/RSH2+RMT1/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.6956608,-9.21943565&heading=82.12953521063673&pitch=5&fov=120"
1097.0,38.6952117975702,-9.213739730016943,Portugal,Lisbon,CR,LFINF,CDL,4,RES,BP2,Select Epoch of Construction,RSH1,RMN,,CR/LFINF/CDL/H:4/BP2/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.6952118,-9.21373973&heading=146.08943753289225&pitch=5&fov=120"
1100.0,38.69719627476288,-9.223853904604564,Portugal,Lisbon,CR,LWAL,CDM,3,RES,BPD,Select Epoch of Construction,RSH3,RMT1,,CR/LWAL/CDM/H:3/BPD/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69719627,-9.2238539&heading=2.0831873053076606&pitch=5&fov=120"
1101.0,38.69691785853109,-9.2152221073838,Portugal,Lisbon,MCF,LWAL,CDL,2,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69691786,-9.21522211&heading=78.25908966017232&pitch=5&fov=120"
1102.0,38.7020247996574,-9.20486779201089,Portugal,Lisbon,MUR,LWAL,CDN,1,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDN/H:1/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7020248,-9.20486779&heading=319.0679567966706&pitch=5&fov=120"
1103.0,38.69826989663356,-9.217163732433905,Portugal,Lisbon,MCF,LWAL,CDL,2,RES,BP1,Select Epoch of Construction,RSH3,RMT1,,MCF/LWAL/CDL/H:2/BP1/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.6982699,-9.21716373&heading=4.617162853887919&pitch=5&fov=120"
1105.0,38.69740670963723,-9.19332176269031,Portugal,Lisbon,MUR,LWAL,CDN,2,COM,BP2,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDN/H:2/BP2/RSH2+RMT1/COM,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69740671,-9.19332176&heading=136.5581172897688&pitch=5&fov=120"
1106.0,38.69994196534201,-9.20516902037908,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69994197,-9.20516902&heading=122.42183519939726&pitch=5&fov=120"
1107.0,38.70021387811438,-9.20422473143024,Portugal,Lisbon,MUR,LWAL,CDL,1,RES,BP1,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDL/H:1/BP1/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70021388,-9.20422473&heading=122.42242561343886&pitch=5&fov=120"
