id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,epoch_construction,roof_shape,roof_material,v_irregularity,image_quality,taxonomy,image filename or link
1,24.14602529,-110.3144755,Mexico,La Paz,S,LFM,CDH,1,IND,BPD,Select Epoch of Construction,RSH2,RMT6,,,S/LFM/CDH/H:1/BPD/RSH2+RMT6/IND,20250605_103711.jpg
2,4.607730908,-74.07233307,Colombia,Bogota,CR,LFINF,CDL,6.0-7.0,COM,BP2,Select Epoch of Construction,RSH1,RMN,,,CR/LFINF/CDL/H:6-7/BP2/RSH1+RMN/COM,IMG_188_1.jpg
3,4.745422261,-74.04466233,Colombia,Bogota,MR,LWAL,CDM,4,COM,BP2,Select Epoch of Construction,RSH7,RMT6,,,MR/LWAL/CDM/H:4/BP2/RSH7+RMT6/COM,IMG_251.jpg
4,38.72378452,-9.145144609,Portugal,Lisbon,CR,LFINF,CDL,8.0-9.0,MIX(RES;COM),BPD,Select Epoch of Construction,RSH1,RMN,,,CR/LFINF/CDL/H:8-9/BPD/RSH1+RMN/MIX(RES;COM),97680527_64_0.jpg
5,11.01296861,-74.81471007,Colombia,Perímetro Urbano Barranquilla,CR,LFINF,CDL,5,RES,BP1,Select Epoch of Construction,RSH1,RMN,,,CR/LFINF/CDL/H:5/BP1/RSH1+RMN/RES,626346803_1488_2.jpg
