ID,dan,latitude,dan,longitude
1,1,11.00526802,1,-74.81068261
2,2,11.00325671,2,-74.80506632
4,4,11.00175183,4,-74.80713005
6,6,11.00257662,6,-74.80920852
7,7,11.00010225,7,-74.8110364
8,8,11.00112962,8,-74.81336546
9,9,11.00251874,9,-74.81181766
10,10,11.00417035,10,-74.81257268
